Time resolution is 1 ps
==========================================================
 CPU Test — 5-stage Harvard CPU (multi-cycle)
==========================================================
 Time | PC   | Instr | ALUResult | Flags(ZCVS)
               20000 | 0x00 | 0x00  | 0x00      | 0000
               25000 | 0x00 | 0x06  | 0x00      | 0000
               45000 | 0x00 | 0x06  | 0x0d      | 0000
               65000 | 0x01 | 0x06  | 0x0d      | 0000
               75000 | 0x01 | 0x16  | 0x0d      | 0000
               95000 | 0x01 | 0x16  | 0x0a      | 0000
              115000 | 0x02 | 0x16  | 0x0a      | 0000
              125000 | 0x02 | 0x24  | 0x0a      | 0000
              145000 | 0x02 | 0x24  | 0x0b      | 0000
              165000 | 0x03 | 0x24  | 0x0b      | 0000
              175000 | 0x03 | 0x34  | 0x0b      | 0000
              195000 | 0x03 | 0x34  | 0x0a      | 0000
              215000 | 0x04 | 0x34  | 0x0a      | 0000
              225000 | 0x04 | 0x46  | 0x0a      | 0000
              245000 | 0x04 | 0x46  | 0x02      | 0000
              265000 | 0x05 | 0x46  | 0x02      | 0000
              275000 | 0x05 | 0x56  | 0x02      | 0000
              295000 | 0x05 | 0x56  | 0x03      | 0000
              315000 | 0x06 | 0x56  | 0x03      | 0000
              325000 | 0x06 | 0x66  | 0x03      | 0000
              345000 | 0x06 | 0x66  | 0x00      | 0000
              365000 | 0x07 | 0x66  | 0x00      | 1000
              375000 | 0x07 | 0x74  | 0x00      | 1000
              395000 | 0x07 | 0x74  | 0xff      | 1000
              415000 | 0x08 | 0x74  | 0xff      | 0001
              425000 | 0x08 | 0x77  | 0xff      | 0001
              445000 | 0x08 | 0x77  | 0x00      | 0001
              465000 | 0x09 | 0x77  | 0x00      | 1000
              475000 | 0x09 | 0x88  | 0x00      | 1000
              495000 | 0x09 | 0x88  | 0x06      | 1000
              515000 | 0x0a | 0x88  | 0x06      | 0000
              525000 | 0x0a | 0x98  | 0x06      | 0000
              545000 | 0x0a | 0x98  | 0x03      | 0000
              565000 | 0x0b | 0x98  | 0x03      | 0000
              575000 | 0x0b | 0xb8  | 0x03      | 0000
              595000 | 0x0b | 0xb8  | 0x06      | 0000
              615000 | 0x0c | 0xb8  | 0x06      | 0000
              625000 | 0x0c | 0xc8  | 0x06      | 0000
              645000 | 0x0c | 0xc8  | 0x03      | 0000
              665000 | 0x0d | 0xc8  | 0x03      | 0000
              675000 | 0x0d | 0x70  | 0x03      | 0000
              695000 | 0x0d | 0x70  | 0xff      | 0000
              715000 | 0x0e | 0x70  | 0xff      | 0001
              725000 | 0x0e | 0x90  | 0xff      | 0001
              745000 | 0x0e | 0x90  | 0x7f      | 0001
              765000 | 0x0f | 0x90  | 0x7f      | 0100
              775000 | 0x0f | 0x70  | 0x7f      | 0100
              795000 | 0x0f | 0x70  | 0x80      | 0100
              815000 | 0x10 | 0x70  | 0x80      | 0001
              825000 | 0x10 | 0xa0  | 0x80      | 0001
              845000 | 0x10 | 0xa0  | 0xc0      | 0001
              865000 | 0x11 | 0xa0  | 0xc0      | 0001
              875000 | 0x11 | 0x06  | 0xc0      | 0001
              895000 | 0x11 | 0x06  | 0x03      | 0001
              915000 | 0x12 | 0x06  | 0x03      | 0000
              925000 | 0x12 | 0xd6  | 0x03      | 0000
              945000 | 0x12 | 0xd6  | 0x09      | 0000
              965000 | 0x13 | 0xd6  | 0x09      | 0000
              975000 | 0x13 | 0x97  | 0x09      | 0000
              995000 | 0x13 | 0x97  | 0x51      | 0000
